pokemon,move,learn_method,level_learned_at
charmander,belly-drum,egg,0
charmander,mud-slap,tutor,0
charmander,outrage,machine,0
charmander,endure,machine,0
charmander,false-swipe,machine,0
charmander,swagger,machine,0
charmander,fury-cutter,tutor,0
charmander,attract,machine,0
charmander,sleep-talk,machine,0
charmander,return,machine,0
charmander,frustration,machine,0
charmander,dynamic-punch,tutor,0
charmander,dragon-breath,level-up,12
charmander,iron-tail,egg,0
charmander,metal-claw,machine,0
charmander,hidden-power,machine,0
charmander,sunny-day,machine,0
charmander,crunch,machine,0
charmander,ancient-power,egg,0
charmander,rock-smash,machine,0
charmander,beat-up,egg,0
charmander,heat-wave,machine,0
charmander,will-o-wisp,machine,0
charmander,facade,machine,0
charmander,focus-punch,machine,0
charmander,helping-hand,machine,0
charmander,brick-break,machine,0
charmander,secret-power,machine,0
charmander,weather-ball,machine,0
charmander,air-cutter,egg,0
charmander,overheat,machine,0
charmander,rock-tomb,machine,0
charmander,aerial-ace,machine,0
charmander,dragon-claw,machine,0
charmander,dragon-dance,machine,0
charmander,natural-gift,machine,0
charmander,fling,machine,0
charmander,flare-blitz,machine,0
charmander,dragon-pulse,machine,0
charmander,dragon-rush,egg,0
charmander,focus-blast,machine,0
charmander,shadow-claw,machine,0
charmander,fire-fang,machine,0
charmander,captivate,machine,0
charmander,hone-claws,machine,0
charmander,flame-burst,level-up,28
charmander,flame-charge,machine,0
charmander,round,machine,0
charmander,echoed-voice,machine,0
charmander,incinerate,machine,0
charmander,acrobatics,machine,0
charmander,inferno,level-up,36
charmander,fire-pledge,machine,0
charmander,dragon-tail,machine,0
charmander,work-up,machine,0
charmander,confide,machine,0
charmander,power-up-punch,machine,0
charmander,breaking-swipe,machine,0
charmander,tera-blast,machine,0
charmander,temper-flare,machine,0
charmeleon,mega-punch,machine,0
charmeleon,fire-punch,machine,0
charmeleon,thunder-punch,machine,0
charmeleon,scratch,level-up,1
charmeleon,swords-dance,machine,0
charmeleon,cut,machine,0
charmeleon,mega-kick,machine,0
charmeleon,headbutt,machine,0
charmeleon,body-slam,machine,0
charmeleon,take-down,machine,0
charmeleon,double-edge,machine,0
charmeleon,leer,level-up,15
charmeleon,bite,egg,0
charmeleon,growl,level-up,1
charmeleon,roar,machine,0
charmeleon,ember,level-up,9
charmeleon,flamethrower,level-up,42
charmeleon,submission,machine,0
charmeleon,counter,machine,0
charmeleon,seismic-toss,machine,0
charmeleon,strength,machine,0
charmeleon,dragon-rage,machine,0
charmeleon,fire-spin,level-up,56
charmeleon,dig,machine,0
charmeleon,toxic,machine,0
charmeleon,rage,machine,0
charmeleon,mimic,machine,0
charmeleon,double-team,machine,0
charmeleon,smokescreen,level-up,1
charmeleon,defense-curl,tutor,0
charmeleon,reflect,machine,0
charmeleon,bide,machine,0
charmeleon,fire-blast,machine,0
charmeleon,swift,machine,0
charmeleon,skull-bash,machine,0
charmeleon,fury-swipes,level-up,20
charmeleon,rest,machine,0
charmeleon,rock-slide,machine,0
charmeleon,slash,level-up,33
charmeleon,substitute,machine,0
charmeleon,snore,machine,0
charmeleon,curse,machine,0
charmeleon,protect,machine,0
charmeleon,scary-face,machine,0
charmeleon,belly-drum,egg,0
charmeleon,mud-slap,tutor,0
charmeleon,outrage,machine,0
charmeleon,endure,machine,0
charmeleon,false-swipe,machine,0
charmeleon,swagger,machine,0
charmeleon,fury-cutter,tutor,0
charmeleon,attract,machine,0
charmeleon,sleep-talk,machine,0
charmeleon,return,machine,0
charmeleon,frustration,machine,0
charmeleon,dynamic-punch,tutor,0
charmeleon,dragon-breath,level-up,12
charmeleon,iron-tail,egg,0
charmeleon,metal-claw,egg,0
charmeleon,hidden-power,machine,0
charmeleon,sunny-day,machine,0
charmeleon,crunch,machine,0
charmeleon,ancient-power,egg,0
charmeleon,rock-smash,machine,0
charmeleon,beat-up,machine,0
charmeleon,heat-wave,machine,0
charmeleon,will-o-wisp,machine,0
charmeleon,facade,machine,0
charmeleon,focus-punch,machine,0
charmeleon,helping-hand,machine,0
charmeleon,brick-break,machine,0
charmeleon,secret-power,machine,0
charmeleon,weather-ball,machine,0
charmeleon,overheat,machine,0
charmeleon,rock-tomb,machine,0
charmeleon,aerial-ace,machine,0
charmeleon,dragon-claw,machine,0
charmeleon,dragon-dance,machine,0
charmeleon,natural-gift,machine,0
charmeleon,fling,machine,0
charmeleon,flare-blitz,machine,0
charmeleon,dragon-pulse,machine,0
charmeleon,dragon-rush,egg,0
charmeleon,focus-blast,machine,0
charmeleon,shadow-claw,machine,0
charmeleon,fire-fang,machine,0
charmeleon,captivate,machine,0
charmeleon,hone-claws,machine,0
charmeleon,flame-burst,level-up,32
charmeleon,flame-charge,machine,0
charmeleon,round,machine,0
charmeleon,echoed-voice,machine,0
charmeleon,incinerate,machine,0
charmeleon,acrobatics,machine,0
charmeleon,inferno,level-up,48
charmeleon,fire-pledge,machine,0
charmeleon,dragon-tail,machine,0
charmeleon,work-up,machine,0
charmeleon,confide,machine,0
charmeleon,power-up-punch,machine,0
charmeleon,breaking-swipe,machine,0
charmeleon,tera-blast,machine,0
charmeleon,temper-flare,machine,0
charizard,mega-punch,machine,0
charizard,fire-punch,train,0
charizard,thunder-punch,train,0
charizard,scratch,level-up,1
charizard,swords-dance,train,0
charizard,cut,machine,0
charizard,wing-attack,level-up,1
charizard,fly,train,0
charizard,mega-kick,train,0
charizard,headbutt,machine,0
charizard,body-slam,train,0
charizard,take-down,machine,0
charizard,double-edge,train,0
charizard,leer,level-up,15
charizard,bite,train,0
charizard,growl,level-up,1
charizard,roar,train,0
charizard,ember,level-up,9
charizard,flamethrower,train,0
charizard,hyper-beam,train,0
charizard,submission,machine,0
charizard,counter,train,0
charizard,seismic-toss,machine,0
charizard,strength,machine,0
charizard,solar-beam,train,0
charizard,dragon-rage,machine,0
charizard,fire-spin,train,0
charizard,earthquake,train,0
charizard,fissure,machine,0
charizard,dig,train,0
charizard,toxic,machine,0
charizard,rage,machine,0
charizard,mimic,machine,0
charizard,double-team,machine,0
charizard,smokescreen,level-up,1
charizard,defense-curl,tutor,0
charizard,reflect,machine,0
charizard,bide,machine,0
charizard,fire-blast,train,0
charizard,swift,machine,0
charizard,skull-bash,machine,0
charizard,fury-swipes,level-up,20
charizard,rest,train,0
charizard,rock-slide,train,0
charizard,slash,level-up,36
charizard,substitute,train,0
charizard,snore,train,0
charizard,curse,machine,0
charizard,protect,train,0
charizard,scary-face,train,0
charizard,belly-drum,train,0
charizard,mud-slap,tutor,0
charizard,outrage,train,0
charizard,sandstorm,train,0
charizard,endure,train,0
charizard,false-swipe,machine,0
charizard,swagger,machine,0
charizard,fury-cutter,tutor,0
charizard,steel-wing,train,0
charizard,attract,machine,0
charizard,sleep-talk,train,0
charizard,return,machine,0
charizard,frustration,machine,0
charizard,dynamic-punch,tutor,0
charizard,dragon-breath,level-up,12
charizard,iron-tail,train,0
charizard,metal-claw,egg,0
charizard,hidden-power,machine,0
charizard,twister,tutor,0
charizard,sunny-day,train,0
charizard,crunch,train,0
charizard,ancient-power,train,0
charizard,rock-smash,machine,0
charizard,beat-up,train,0
charizard,heat-wave,train,0
charizard,will-o-wisp,train,0
charizard,facade,train,0
charizard,focus-punch,train,0
charizard,helping-hand,train,0
charizard,brick-break,train,0
charizard,secret-power,machine,0
charizard,blaze-kick,machine,0
charizard,blast-burn,train,0
charizard,weather-ball,train,0
charizard,air-cutter,train,0
charizard,overheat,train,0
charizard,rock-tomb,train,0
charizard,aerial-ace,train,0
charizard,dragon-claw,train,0
charizard,dragon-dance,train,0
charizard,roost,train,0
charizard,natural-gift,machine,0
charizard,tailwind,tutor,0
charizard,fling,train,0
charizard,flare-blitz,train,0
charizard,air-slash,train,0
charizard,dragon-pulse,train,0
charizard,dragon-rush,train,0
charizard,focus-blast,train,0
charizard,giga-impact,train,0
charizard,shadow-claw,train,0
charizard,fire-fang,train,0
charizard,defog,tutor,0
charizard,captivate,machine,0
charizard,ominous-wind,tutor,0
charizard,hone-claws,machine,0
charizard,flame-burst,level-up,32
charizard,flame-charge,train,0
charizard,round,train,0
charizard,echoed-voice,machine,0
charizard,sky-drop,machine,0
charizard,incinerate,machine,0
charizard,acrobatics,train,0
charizard,inferno,train,0
charizard,fire-pledge,machine,0
charizard,bulldoze,train,0
charizard,dragon-tail,train,0
charizard,work-up,machine,0
charizard,heat-crash,train,0
charizard,hurricane,train,0
charizard,confide,machine,0
charizard,mystical-fire,machine,0
charizard,power-up-punch,machine,0
charizard,brutal-swing,train,0
charizard,breaking-swipe,train,0
charizard,scale-shot,train,0
charizard,dual-wingbeat,tutor,0
charizard,scorching-sands,train,0
charizard,tera-blast,machine,0
charizard,dragon-cheer,train,0
charizard,temper-flare,train,0
squirtle,mega-punch,machine,0
squirtle,ice-punch,machine,0
squirtle,mega-kick,machine,0
squirtle,headbutt,machine,0
squirtle,tackle,level-up,1
squirtle,body-slam,machine,0
squirtle,take-down,machine,0
squirtle,double-edge,machine,0
squirtle,tail-whip,level-up,1
squirtle,bite,level-up,22
squirtle,mist,egg,0
squirtle,water-gun,machine,0
squirtle,hydro-pump,level-up,42
squirtle,surf,machine,0
squirtle,ice-beam,machine,0
squirtle,blizzard,machine,0
squirtle,bubble-beam,machine,0
squirtle,submission,machine,0
squirtle,counter,machine,0
squirtle,seismic-toss,machine,0
squirtle,strength,machine,0
squirtle,dig,machine,0
squirtle,toxic,machine,0
squirtle,confusion,egg,0
squirtle,rage,machine,0
squirtle,mimic,machine,0
squirtle,double-team,machine,0
squirtle,withdraw,level-up,28
squirtle,defense-curl,tutor,0
squirtle,haze,machine,0
squirtle,reflect,machine,0
squirtle,bide,machine,0
squirtle,waterfall,machine,0
squirtle,skull-bash,machine,0
squirtle,bubble,level-up,8
squirtle,rest,machine,0
squirtle,rock-slide,machine,0
squirtle,substitute,machine,0
squirtle,snore,machine,0
squirtle,curse,machine,0
squirtle,flail,egg,0
squirtle,protect,machine,0
squirtle,mud-slap,tutor,0
squirtle,foresight,egg,0
squirtle,icy-wind,machine,0
squirtle,outrage,machine,0
squirtle,endure,machine,0
squirtle,rollout,tutor,0
squirtle,false-swipe,machine,0
squirtle,swagger,machine,0
squirtle,attract,machine,0
squirtle,sleep-talk,machine,0
squirtle,return,machine,0
squirtle,frustration,machine,0
squirtle,dynamic-punch,tutor,0
squirtle,rapid-spin,level-up,9
squirtle,iron-tail,machine,0
squirtle,hidden-power,machine,0
squirtle,rain-dance,machine,0
squirtle,mirror-coat,egg,0
squirtle,rock-smash,machine,0
squirtle,whirlpool,machine,0
squirtle,fake-out,egg,0
squirtle,hail,machine,0
squirtle,facade,machine,0
squirtle,focus-punch,machine,0
squirtle,helping-hand,machine,0
squirtle,brick-break,machine,0
squirtle,yawn,egg,0
squirtle,refresh,egg,0
squirtle,secret-power,machine,0
squirtle,dive,machine,0
squirtle,mud-sport,egg,0
squirtle,weather-ball,machine,0
squirtle,rock-tomb,machine,0
squirtle,water-spout,egg,0
squirtle,muddy-water,machine,0
squirtle,iron-defense,machine,0
squirtle,mud-shot,machine,0
squirtle,water-pulse,machine,0
squirtle,gyro-ball,machine,0
squirtle,brine,machine,0
squirtle,natural-gift,machine,0
squirtle,fling,machine,0
squirtle,aqua-ring,egg,0
squirtle,aura-sphere,egg,0
squirtle,aqua-tail,level-up,24
squirtle,dragon-pulse,machine,0
squirtle,zen-headbutt,machine,0
squirtle,captivate,machine,0
squirtle,aqua-jet,egg,0
squirtle,round,machine,0
squirtle,scald,machine,0
squirtle,shell-smash,level-up,27
squirtle,water-pledge,machine,0
squirtle,work-up,machine,0
squirtle,confide,machine,0
squirtle,power-up-punch,machine,0
squirtle,liquidation,machine,0
squirtle,life-dew,egg,0
squirtle,flip-turn,machine,0
squirtle,wave-crash,level-up,36
squirtle,tera-blast,machine,0
squirtle,ice-spinner,machine,0
squirtle,chilling-water,machine,0
wartortle,mega-punch,machine,0
wartortle,ice-punch,machine,0
wartortle,mega-kick,machine,0
wartortle,headbutt,machine,0
wartortle,tackle,level-up,1
wartortle,body-slam,machine,0
wartortle,take-down,machine,0
wartortle,double-edge,machine,0
wartortle,tail-whip,level-up,1
wartortle,bite,level-up,24
wartortle,mist,egg,0
wartortle,water-gun,machine,0
wartortle,hydro-pump,level-up,47
wartortle,surf,machine,0
wartortle,ice-beam,machine,0
wartortle,blizzard,machine,0
wartortle,bubble-beam,machine,0
wartortle,submission,machine,0
wartortle,counter,machine,0
wartortle,seismic-toss,machine,0
wartortle,strength,machine,0
wartortle,dig,machine,0
wartortle,toxic,machine,0
wartortle,rage,machine,0
wartortle,mimic,machine,0
wartortle,double-team,machine,0
wartortle,withdraw,level-up,31
wartortle,defense-curl,tutor,0
wartortle,haze,machine,0
wartortle,reflect,machine,0
wartortle,bide,machine,0
wartortle,waterfall,machine,0
wartortle,skull-bash,machine,0
wartortle,bubble,level-up,8
wartortle,rest,machine,0
wartortle,rock-slide,machine,0
wartortle,substitute,machine,0
wartortle,snore,machine,0
wartortle,curse,machine,0
wartortle,flail,egg,0
wartortle,protect,machine,0
wartortle,mud-slap,tutor,0
wartortle,icy-wind,machine,0
wartortle,outrage,machine,0
wartortle,endure,machine,0
wartortle,rollout,tutor,0
wartortle,false-swipe,machine,0
wartortle,swagger,machine,0
wartortle,attract,machine,0
wartortle,sleep-talk,machine,0
wartortle,return,machine,0
wartortle,frustration,machine,0
wartortle,dynamic-punch,tutor,0
wartortle,rapid-spin,level-up,9
wartortle,iron-tail,machine,0
wartortle,hidden-power,machine,0
wartortle,rain-dance,machine,0
wartortle,mirror-coat,egg,0
wartortle,rock-smash,machine,0
wartortle,whirlpool,machine,0
wartortle,fake-out,egg,0
wartortle,hail,machine,0
wartortle,facade,machine,0
wartortle,focus-punch,machine,0
wartortle,helping-hand,machine,0
wartortle,brick-break,machine,0
wartortle,yawn,egg,0
wartortle,secret-power,machine,0
wartortle,dive,machine,0
wartortle,weather-ball,machine,0
wartortle,rock-tomb,machine,0
wartortle,water-spout,egg,0
wartortle,muddy-water,machine,0
wartortle,iron-defense,machine,0
wartortle,mud-shot,machine,0
wartortle,water-pulse,machine,0
wartortle,gyro-ball,machine,0
wartortle,brine,machine,0
wartortle,natural-gift,machine,0
wartortle,fling,machine,0
wartortle,aqua-ring,egg,0
wartortle,aura-sphere,machine,0
wartortle,aqua-tail,level-up,30
wartortle,dragon-pulse,machine,0
wartortle,zen-headbutt,machine,0
wartortle,captivate,machine,0
wartortle,aqua-jet,egg,0
wartortle,round,machine,0
wartortle,scald,machine,0
wartortle,shell-smash,level-up,35
wartortle,water-pledge,machine,0
wartortle,work-up,machine,0
wartortle,confide,machine,0
wartortle,power-up-punch,machine,0
wartortle,liquidation,machine,0
wartortle,life-dew,egg,0
wartortle,flip-turn,machine,0
wartortle,wave-crash,level-up,50
wartortle,tera-blast,machine,0
wartortle,ice-spinner,machine,0
wartortle,chilling-water,machine,0
blastoise,mega-punch,machine,0
blastoise,ice-punch,train,0
blastoise,mega-kick,train,0
blastoise,headbutt,machine,0
blastoise,tackle,level-up,1
blastoise,body-slam,train,0
blastoise,take-down,machine,0
blastoise,double-edge,train,0
blastoise,tail-whip,level-up,1
blastoise,bite,train,0
blastoise,roar,train,0
blastoise,mist,egg,0
blastoise,water-gun,machine,0
blastoise,hydro-pump,train,0
blastoise,surf,train,0
blastoise,ice-beam,train,0
blastoise,blizzard,train,0
blastoise,bubble-beam,machine,0
blastoise,hyper-beam,train,0
blastoise,submission,machine,0
blastoise,counter,machine,0
blastoise,seismic-toss,machine,0
blastoise,strength,machine,0
blastoise,earthquake,train,0
blastoise,fissure,machine,0
blastoise,dig,train,0
blastoise,toxic,machine,0
blastoise,rage,machine,0
blastoise,mimic,machine,0
blastoise,double-team,machine,0
blastoise,withdraw,level-up,31
blastoise,defense-curl,tutor,0
blastoise,haze,train,0
blastoise,reflect,machine,0
blastoise,bide,machine,0
blastoise,waterfall,train,0
blastoise,skull-bash,machine,0
blastoise,bubble,level-up,8
blastoise,rest,train,0
blastoise,rock-slide,train,0
blastoise,substitute,train,0
blastoise,snore,train,0
blastoise,curse,machine,0
blastoise,flail,train,0
blastoise,protect,train,0
blastoise,scary-face,train,0
blastoise,mud-slap,tutor,0
blastoise,icy-wind,train,0
blastoise,outrage,train,0
blastoise,endure,train,0
blastoise,rollout,tutor,0
blastoise,false-swipe,machine,0
blastoise,swagger,machine,0
blastoise,attract,machine,0
blastoise,sleep-talk,train,0
blastoise,return,machine,0
blastoise,frustration,machine,0
blastoise,dynamic-punch,tutor,0
blastoise,rapid-spin,train,0
blastoise,iron-tail,train,0
blastoise,hidden-power,machine,0
blastoise,rain-dance,train,0
blastoise,crunch,train,0
blastoise,mirror-coat,train,0
blastoise,rock-smash,machine,0
blastoise,whirlpool,train,0
blastoise,fake-out,train,0
blastoise,hail,machine,0
blastoise,facade,train,0
blastoise,focus-punch,train,0
blastoise,helping-hand,train,0
blastoise,brick-break,train,0
blastoise,yawn,train,0
blastoise,secret-power,machine,0
blastoise,dive,train,0
blastoise,hydro-cannon,train,0
blastoise,weather-ball,train,0
blastoise,rock-tomb,train,0
blastoise,water-spout,train,0
blastoise,signal-beam,tutor,0
blastoise,muddy-water,train,0
blastoise,iron-defense,train,0
blastoise,mud-shot,train,0
blastoise,water-pulse,train,0
blastoise,gyro-ball,train,0
blastoise,brine,machine,0
blastoise,natural-gift,machine,0
blastoise,fling,train,0
blastoise,aqua-ring,train,0
blastoise,aura-sphere,train,0
blastoise,dark-pulse,train,0
blastoise,aqua-tail,train,0
blastoise,dragon-pulse,train,0
blastoise,focus-blast,train,0
blastoise,giga-impact,train,0
blastoise,avalanche,train,0
blastoise,zen-headbutt,train,0
blastoise,flash-cannon,train,0
blastoise,rock-climb,machine,0
blastoise,iron-head,train,0
blastoise,captivate,machine,0
blastoise,aqua-jet,train,0
blastoise,smack-down,train,0
blastoise,round,train,0
blastoise,scald,machine,0
blastoise,shell-smash,train,0
blastoise,water-pledge,machine,0
blastoise,bulldoze,train,0
blastoise,dragon-tail,machine,0
blastoise,work-up,machine,0
